Overall Rank*,City,Total Score,'Socioeconomic Diversity' Rank,'Cultural Diversity' Rank,'Economic Diversity' Rank,'Household Diversity' Rank,'Religious Diversity' Rank
287,"Thornton, CO",63.8,122,141,98,353,476
293,"Colorado Springs, CO",63.7,123,208,150,299,438
245,"Sitka and, AK",64.43,124,189,12,345,440
304,"Norman, OK",63.37,125,296,253,276,364
167,"Bartlett, TN",65.68,126,330,187,464,10
164,"Metairie, LA",65.78,127,246,136,204,192
5,"Dallas, TX",70.97,128,43,186,118,43
400,"St. Peters, MO",61,129,457,421,446,142
228,"Cranston, RI",64.64,130,231,312,210,316
227,"Chesapeake, VA",64.64,131,229,35,350,373
58,"Bear, DE",68.4,132,69,315,268,228
423,"Warwick, RI",60.42,133,446,283,309,348
10,"Arlington, TX",70.72,134,42,125,138,90
337,"Bismarck, ND",62.69,135,477,164,362,19
380,"West Fargo, ND",61.53,136,476,286,430,62
34,"Sacramento, CA",69.38,137,15,19,60,397
229,"Greenville, SC",64.64,138,251,449,389,166
374,"Columbia, MO",61.82,139,335,458,408,367
437,"Portland, ME",59.79,139,333,433,392,483
403,"Lawrence, KS",60.88,141,322,307,429,451
111,"Omaha, NE",66.85,142,213,309,226,71
309,"Murfreesboro, TN",63.24,143,264,163,205,426
172,"Ellicott City, MD",65.56,144,87,462,500,283
348,"Toms River, NJ",62.39,145,400,174,364,260
27,"Brooklyn Park, MN",69.7,146,66,418,235,44
157,"Kaneohe, HI",66.04,147,161,22,335,349
465,"Bozeman, MT",58.59,148,443,201,451,446
372,"Valley Falls, RI",61.92,149,389,359,286,316
246,"Waukesha, WI",64.42,150,360,429,340,38
92,"Enterprise, NV",67.26,151,12,482,215,418
209,"Broken Arrow, OK",64.97,152,302,215,450,79
319,"Sterling Heights, MI",63.04,153,279,412,372,362
435,"Helena, MT",59.8,154,472,127,342,358
221,"Glasgow, DE",64.74,155,212,455,394,228
63,"Phoenix, AZ",68.24,156,57,139,49,340
240,"Peoria, AZ",64.49,157,207,216,334,366
231,"Henderson, NV",64.61,158,163,222,292,418
101,"Mount Vernon, NY",67.09,159,153,435,16,180
314,"Boise, ID",63.15,160,368,170,296,267
46,"Bakersfield, CA",68.7,161,79,24,180,266
