FID,UNSDLEA,SUM_Total,SUM_White,SUM_Black,SUM_Asian_,SUM_Hispan,SUM_Other,GEOID,CITY,NAME,City_Pop,City_Pop_W,City_Pop_B,City_Pop_H,City_Pop_A,Seg_Black,Seg_Hisp,Seg_Asian
19,19650,374083,113188,97681,78057,76511,8646,4819650,Houston,Fort Bend Independent School District,5244531,1961619,913175,1910363,370899,0.024633613,0.008825407,0.076376101
45,38080,235265,135549,16952,15888,60947,5929,4838080,Austin,Round Rock Independent School District,1432723,739113,127318,465477,70060,0.025123613,0.026229823,0.021691449
41,34830,108108,47649,14880,10425,32252,2902,4834830,Austin,Pflugerville Independent School District,1432723,739113,127318,465477,70060,0.026202449,0.002410124,0.042166606
7,14280,230494,147180,17900,16090,43934,5390,4814280,Houston,Clear Creek Independent School District,5244531,1961619,913175,1910363,370899,0.027713961,0.026016069,0.015824389
2,07830,252208,28511,68894,42331,107939,4533,4807830,Houston,Alief Independent School District,5244531,1961619,913175,1910363,370899,0.030455021,0.020983702,0.049798189
1,07710,264116,35419,73779,8036,143959,2923,4807710,Houston,Aldine Independent School District,5244531,1961619,913175,1910363,370899,0.031368965,0.028650439,0.001805136
3,08940,672214,322756,64114,29470,242939,12935,4808940,Austin,Austin Independent School District,1432723,739113,127318,465477,70060,0.033446773,0.042616948,0.008020365
34,27030,133160,94478,7710,4895,22759,3318,4827030,Austin,Leander Independent School District,1432723,739113,127318,465477,70060,0.033634581,0.039466131,0.028978754
42,35100,335704,201005,28145,47734,49861,8959,4835100,Dallas,Plano Independent School District,3254564,1364980,546978,1068180,211312,0.047901558,0.050290053,0.039317449
9,15000,327619,227512,15922,8421,69721,6043,4815000,Houston,Conroe Independent School District,5244531,1961619,913175,1910363,370899,0.049272939,0.039742771,0.046638727
35,27300,308566,196795,24034,27944,51693,8100,4827300,Dallas,Lewisville Independent School District,3254564,1364980,546978,1068180,211312,0.050117332,0.047890372,0.005966898
25,23640,1371027,350358,323109,68767,610599,18194,4823640,Houston,Houston Independent School District,5244531,1961619,913175,1910363,370899,0.087611884,0.070509023,0.00339986
13,16230,1047086,316353,231415,21751,463274,14293,4816230,Dallas,Dallas Independent School District,3254564,1364980,546978,1068180,211312,0.095657669,0.100970111,0.064415366
